,emoji,group,subgroup,name,qualified_status,edition,codepoint_readable,utf8_codepoint
237,🤟🏿,People & Body,hand-fingers-partial,love-you gesture: dark skin tone,fully-qualified,E5.0,1F91F 1F3FF,\U0001f91f\U0001f3ff
238,🤘,People & Body,hand-fingers-partial,sign of the horns,fully-qualified,E1.0,1F918,\U0001f918
239,🤘🏻,People & Body,hand-fingers-partial,sign of the horns: light skin tone,fully-qualified,E1.0,1F918 1F3FB,\U0001f918\U0001f3fb
240,🤘🏼,People & Body,hand-fingers-partial,sign of the horns: medium-light skin tone,fully-qualified,E1.0,1F918 1F3FC,\U0001f918\U0001f3fc
241,🤘🏽,People & Body,hand-fingers-partial,sign of the horns: medium skin tone,fully-qualified,E1.0,1F918 1F3FD,\U0001f918\U0001f3fd
242,🤘🏾,People & Body,hand-fingers-partial,sign of the horns: medium-dark skin tone,fully-qualified,E1.0,1F918 1F3FE,\U0001f918\U0001f3fe
243,🤘🏿,People & Body,hand-fingers-partial,sign of the horns: dark skin tone,fully-qualified,E1.0,1F918 1F3FF,\U0001f918\U0001f3ff
244,🤙,People & Body,hand-fingers-partial,call me hand,fully-qualified,E3.0,1F919,\U0001f919
245,🤙🏻,People & Body,hand-fingers-partial,call me hand: light skin tone,fully-qualified,E3.0,1F919 1F3FB,\U0001f919\U0001f3fb
246,🤙🏼,People & Body,hand-fingers-partial,call me hand: medium-light skin tone,fully-qualified,E3.0,1F919 1F3FC,\U0001f919\U0001f3fc
247,🤙🏽,People & Body,hand-fingers-partial,call me hand: medium skin tone,fully-qualified,E3.0,1F919 1F3FD,\U0001f919\U0001f3fd
248,🤙🏾,People & Body,hand-fingers-partial,call me hand: medium-dark skin tone,fully-qualified,E3.0,1F919 1F3FE,\U0001f919\U0001f3fe
249,🤙🏿,People & Body,hand-fingers-partial,call me hand: dark skin tone,fully-qualified,E3.0,1F919 1F3FF,\U0001f919\U0001f3ff
250,👈,People & Body,hand-single-finger,backhand index pointing left,fully-qualified,E0.6,1F448,\U0001f448
251,👈🏻,People & Body,hand-single-finger,backhand index pointing left: light skin tone,fully-qualified,E1.0,1F448 1F3FB,\U0001f448\U0001f3fb
252,👈🏼,People & Body,hand-single-finger,backhand index pointing left: medium-light skin tone,fully-qualified,E1.0,1F448 1F3FC,\U0001f448\U0001f3fc
253,👈🏽,People & Body,hand-single-finger,backhand index pointing left: medium skin tone,fully-qualified,E1.0,1F448 1F3FD,\U0001f448\U0001f3fd
254,👈🏾,People & Body,hand-single-finger,backhand index pointing left: medium-dark skin tone,fully-qualified,E1.0,1F448 1F3FE,\U0001f448\U0001f3fe
255,👈🏿,People & Body,hand-single-finger,backhand index pointing left: dark skin tone,fully-qualified,E1.0,1F448 1F3FF,\U0001f448\U0001f3ff
256,👉,People & Body,hand-single-finger,backhand index pointing right,fully-qualified,E0.6,1F449,\U0001f449
257,👉🏻,People & Body,hand-single-finger,backhand index pointing right: light skin tone,fully-qualified,E1.0,1F449 1F3FB,\U0001f449\U0001f3fb
258,👉🏼,People & Body,hand-single-finger,backhand index pointing right: medium-light skin tone,fully-qualified,E1.0,1F449 1F3FC,\U0001f449\U0001f3fc
259,👉🏽,People & Body,hand-single-finger,backhand index pointing right: medium skin tone,fully-qualified,E1.0,1F449 1F3FD,\U0001f449\U0001f3fd
260,👉🏾,People & Body,hand-single-finger,backhand index pointing right: medium-dark skin tone,fully-qualified,E1.0,1F449 1F3FE,\U0001f449\U0001f3fe
261,👉🏿,People & Body,hand-single-finger,backhand index pointing right: dark skin tone,fully-qualified,E1.0,1F449 1F3FF,\U0001f449\U0001f3ff
262,👆,People & Body,hand-single-finger,backhand index pointing up,fully-qualified,E0.6,1F446,\U0001f446
263,👆🏻,People & Body,hand-single-finger,backhand index pointing up: light skin tone,fully-qualified,E1.0,1F446 1F3FB,\U0001f446\U0001f3fb
264,👆🏼,People & Body,hand-single-finger,backhand index pointing up: medium-light skin tone,fully-qualified,E1.0,1F446 1F3FC,\U0001f446\U0001f3fc
265,👆🏽,People & Body,hand-single-finger,backhand index pointing up: medium skin tone,fully-qualified,E1.0,1F446 1F3FD,\U0001f446\U0001f3fd
266,👆🏾,People & Body,hand-single-finger,backhand index pointing up: medium-dark skin tone,fully-qualified,E1.0,1F446 1F3FE,\U0001f446\U0001f3fe
267,👆🏿,People & Body,hand-single-finger,backhand index pointing up: dark skin tone,fully-qualified,E1.0,1F446 1F3FF,\U0001f446\U0001f3ff
268,🖕,People & Body,hand-single-finger,middle finger,fully-qualified,E1.0,1F595,\U0001f595
269,🖕🏻,People & Body,hand-single-finger,middle finger: light skin tone,fully-qualified,E1.0,1F595 1F3FB,\U0001f595\U0001f3fb
270,🖕🏼,People & Body,hand-single-finger,middle finger: medium-light skin tone,fully-qualified,E1.0,1F595 1F3FC,\U0001f595\U0001f3fc
271,🖕🏽,People & Body,hand-single-finger,middle finger: medium skin tone,fully-qualified,E1.0,1F595 1F3FD,\U0001f595\U0001f3fd
272,🖕🏾,People & Body,hand-single-finger,middle finger: medium-dark skin tone,fully-qualified,E1.0,1F595 1F3FE,\U0001f595\U0001f3fe
273,🖕🏿,People & Body,hand-single-finger,middle finger: dark skin tone,fully-qualified,E1.0,1F595 1F3FF,\U0001f595\U0001f3ff
274,👇,People & Body,hand-single-finger,backhand index pointing down,fully-qualified,E0.6,1F447,\U0001f447
275,👇🏻,People & Body,hand-single-finger,backhand index pointing down: light skin tone,fully-qualified,E1.0,1F447 1F3FB,\U0001f447\U0001f3fb
276,👇🏼,People & Body,hand-single-finger,backhand index pointing down: medium-light skin tone,fully-qualified,E1.0,1F447 1F3FC,\U0001f447\U0001f3fc
277,👇🏽,People & Body,hand-single-finger,backhand index pointing down: medium skin tone,fully-qualified,E1.0,1F447 1F3FD,\U0001f447\U0001f3fd
278,👇🏾,People & Body,hand-single-finger,backhand index pointing down: medium-dark skin tone,fully-qualified,E1.0,1F447 1F3FE,\U0001f447\U0001f3fe
279,👇🏿,People & Body,hand-single-finger,backhand index pointing down: dark skin tone,fully-qualified,E1.0,1F447 1F3FF,\U0001f447\U0001f3ff
280,☝️,People & Body,hand-single-finger,index pointing up,fully-qualified,E0.6,261D FE0F,\u261d\ufe0f
281,☝,People & Body,hand-single-finger,index pointing up,unqualified,E0.6,261D,\u261d
282,☝🏻,People & Body,hand-single-finger,index pointing up: light skin tone,fully-qualified,E1.0,261D 1F3FB,\u261d\U0001f3fb
283,☝🏼,People & Body,hand-single-finger,index pointing up: medium-light skin tone,fully-qualified,E1.0,261D 1F3FC,\u261d\U0001f3fc
284,☝🏽,People & Body,hand-single-finger,index pointing up: medium skin tone,fully-qualified,E1.0,261D 1F3FD,\u261d\U0001f3fd
285,☝🏾,People & Body,hand-single-finger,index pointing up: medium-dark skin tone,fully-qualified,E1.0,261D 1F3FE,\u261d\U0001f3fe
286,☝🏿,People & Body,hand-single-finger,index pointing up: dark skin tone,fully-qualified,E1.0,261D 1F3FF,\u261d\U0001f3ff
287,👍,People & Body,hand-fingers-closed,thumbs up,fully-qualified,E0.6,1F44D,\U0001f44d
288,👍🏻,People & Body,hand-fingers-closed,thumbs up: light skin tone,fully-qualified,E1.0,1F44D 1F3FB,\U0001f44d\U0001f3fb
289,👍🏼,People & Body,hand-fingers-closed,thumbs up: medium-light skin tone,fully-qualified,E1.0,1F44D 1F3FC,\U0001f44d\U0001f3fc
290,👍🏽,People & Body,hand-fingers-closed,thumbs up: medium skin tone,fully-qualified,E1.0,1F44D 1F3FD,\U0001f44d\U0001f3fd
291,👍🏾,People & Body,hand-fingers-closed,thumbs up: medium-dark skin tone,fully-qualified,E1.0,1F44D 1F3FE,\U0001f44d\U0001f3fe
292,👍🏿,People & Body,hand-fingers-closed,thumbs up: dark skin tone,fully-qualified,E1.0,1F44D 1F3FF,\U0001f44d\U0001f3ff
293,👎,People & Body,hand-fingers-closed,thumbs down,fully-qualified,E0.6,1F44E,\U0001f44e
294,👎🏻,People & Body,hand-fingers-closed,thumbs down: light skin tone,fully-qualified,E1.0,1F44E 1F3FB,\U0001f44e\U0001f3fb
295,👎🏼,People & Body,hand-fingers-closed,thumbs down: medium-light skin tone,fully-qualified,E1.0,1F44E 1F3FC,\U0001f44e\U0001f3fc
296,👎🏽,People & Body,hand-fingers-closed,thumbs down: medium skin tone,fully-qualified,E1.0,1F44E 1F3FD,\U0001f44e\U0001f3fd
297,👎🏾,People & Body,hand-fingers-closed,thumbs down: medium-dark skin tone,fully-qualified,E1.0,1F44E 1F3FE,\U0001f44e\U0001f3fe
298,👎🏿,People & Body,hand-fingers-closed,thumbs down: dark skin tone,fully-qualified,E1.0,1F44E 1F3FF,\U0001f44e\U0001f3ff
299,✊,People & Body,hand-fingers-closed,raised fist,fully-qualified,E0.6,270A,\u270a
300,✊🏻,People & Body,hand-fingers-closed,raised fist: light skin tone,fully-qualified,E1.0,270A 1F3FB,\u270a\U0001f3fb
301,✊🏼,People & Body,hand-fingers-closed,raised fist: medium-light skin tone,fully-qualified,E1.0,270A 1F3FC,\u270a\U0001f3fc
302,✊🏽,People & Body,hand-fingers-closed,raised fist: medium skin tone,fully-qualified,E1.0,270A 1F3FD,\u270a\U0001f3fd
303,✊🏾,People & Body,hand-fingers-closed,raised fist: medium-dark skin tone,fully-qualified,E1.0,270A 1F3FE,\u270a\U0001f3fe
304,✊🏿,People & Body,hand-fingers-closed,raised fist: dark skin tone,fully-qualified,E1.0,270A 1F3FF,\u270a\U0001f3ff
305,👊,People & Body,hand-fingers-closed,oncoming fist,fully-qualified,E0.6,1F44A,\U0001f44a
306,👊🏻,People & Body,hand-fingers-closed,oncoming fist: light skin tone,fully-qualified,E1.0,1F44A 1F3FB,\U0001f44a\U0001f3fb
307,👊🏼,People & Body,hand-fingers-closed,oncoming fist: medium-light skin tone,fully-qualified,E1.0,1F44A 1F3FC,\U0001f44a\U0001f3fc
308,👊🏽,People & Body,hand-fingers-closed,oncoming fist: medium skin tone,fully-qualified,E1.0,1F44A 1F3FD,\U0001f44a\U0001f3fd
309,👊🏾,People & Body,hand-fingers-closed,oncoming fist: medium-dark skin tone,fully-qualified,E1.0,1F44A 1F3FE,\U0001f44a\U0001f3fe
310,👊🏿,People & Body,hand-fingers-closed,oncoming fist: dark skin tone,fully-qualified,E1.0,1F44A 1F3FF,\U0001f44a\U0001f3ff
311,🤛,People & Body,hand-fingers-closed,left-facing fist,fully-qualified,E3.0,1F91B,\U0001f91b
312,🤛🏻,People & Body,hand-fingers-closed,left-facing fist: light skin tone,fully-qualified,E3.0,1F91B 1F3FB,\U0001f91b\U0001f3fb
313,🤛🏼,People & Body,hand-fingers-closed,left-facing fist: medium-light skin tone,fully-qualified,E3.0,1F91B 1F3FC,\U0001f91b\U0001f3fc
314,🤛🏽,People & Body,hand-fingers-closed,left-facing fist: medium skin tone,fully-qualified,E3.0,1F91B 1F3FD,\U0001f91b\U0001f3fd
315,🤛🏾,People & Body,hand-fingers-closed,left-facing fist: medium-dark skin tone,fully-qualified,E3.0,1F91B 1F3FE,\U0001f91b\U0001f3fe
316,🤛🏿,People & Body,hand-fingers-closed,left-facing fist: dark skin tone,fully-qualified,E3.0,1F91B 1F3FF,\U0001f91b\U0001f3ff
317,🤜,People & Body,hand-fingers-closed,right-facing fist,fully-qualified,E3.0,1F91C,\U0001f91c
318,🤜🏻,People & Body,hand-fingers-closed,right-facing fist: light skin tone,fully-qualified,E3.0,1F91C 1F3FB,\U0001f91c\U0001f3fb
319,🤜🏼,People & Body,hand-fingers-closed,right-facing fist: medium-light skin tone,fully-qualified,E3.0,1F91C 1F3FC,\U0001f91c\U0001f3fc
320,🤜🏽,People & Body,hand-fingers-closed,right-facing fist: medium skin tone,fully-qualified,E3.0,1F91C 1F3FD,\U0001f91c\U0001f3fd
321,🤜🏾,People & Body,hand-fingers-closed,right-facing fist: medium-dark skin tone,fully-qualified,E3.0,1F91C 1F3FE,\U0001f91c\U0001f3fe
322,🤜🏿,People & Body,hand-fingers-closed,right-facing fist: dark skin tone,fully-qualified,E3.0,1F91C 1F3FF,\U0001f91c\U0001f3ff
323,👏,People & Body,hands,clapping hands,fully-qualified,E0.6,1F44F,\U0001f44f
324,👏🏻,People & Body,hands,clapping hands: light skin tone,fully-qualified,E1.0,1F44F 1F3FB,\U0001f44f\U0001f3fb
325,👏🏼,People & Body,hands,clapping hands: medium-light skin tone,fully-qualified,E1.0,1F44F 1F3FC,\U0001f44f\U0001f3fc
326,👏🏽,People & Body,hands,clapping hands: medium skin tone,fully-qualified,E1.0,1F44F 1F3FD,\U0001f44f\U0001f3fd
327,👏🏾,People & Body,hands,clapping hands: medium-dark skin tone,fully-qualified,E1.0,1F44F 1F3FE,\U0001f44f\U0001f3fe
328,👏🏿,People & Body,hands,clapping hands: dark skin tone,fully-qualified,E1.0,1F44F 1F3FF,\U0001f44f\U0001f3ff
329,🙌,People & Body,hands,raising hands,fully-qualified,E0.6,1F64C,\U0001f64c
330,🙌🏻,People & Body,hands,raising hands: light skin tone,fully-qualified,E1.0,1F64C 1F3FB,\U0001f64c\U0001f3fb
331,🙌🏼,People & Body,hands,raising hands: medium-light skin tone,fully-qualified,E1.0,1F64C 1F3FC,\U0001f64c\U0001f3fc
332,🙌🏽,People & Body,hands,raising hands: medium skin tone,fully-qualified,E1.0,1F64C 1F3FD,\U0001f64c\U0001f3fd
333,🙌🏾,People & Body,hands,raising hands: medium-dark skin tone,fully-qualified,E1.0,1F64C 1F3FE,\U0001f64c\U0001f3fe
334,🙌🏿,People & Body,hands,raising hands: dark skin tone,fully-qualified,E1.0,1F64C 1F3FF,\U0001f64c\U0001f3ff
335,👐,People & Body,hands,open hands,fully-qualified,E0.6,1F450,\U0001f450
336,👐🏻,People & Body,hands,open hands: light skin tone,fully-qualified,E1.0,1F450 1F3FB,\U0001f450\U0001f3fb
337,👐🏼,People & Body,hands,open hands: medium-light skin tone,fully-qualified,E1.0,1F450 1F3FC,\U0001f450\U0001f3fc
338,👐🏽,People & Body,hands,open hands: medium skin tone,fully-qualified,E1.0,1F450 1F3FD,\U0001f450\U0001f3fd
339,👐🏾,People & Body,hands,open hands: medium-dark skin tone,fully-qualified,E1.0,1F450 1F3FE,\U0001f450\U0001f3fe
340,👐🏿,People & Body,hands,open hands: dark skin tone,fully-qualified,E1.0,1F450 1F3FF,\U0001f450\U0001f3ff
341,🤲,People & Body,hands,palms up together,fully-qualified,E5.0,1F932,\U0001f932
342,🤲🏻,People & Body,hands,palms up together: light skin tone,fully-qualified,E5.0,1F932 1F3FB,\U0001f932\U0001f3fb
343,🤲🏼,People & Body,hands,palms up together: medium-light skin tone,fully-qualified,E5.0,1F932 1F3FC,\U0001f932\U0001f3fc
344,🤲🏽,People & Body,hands,palms up together: medium skin tone,fully-qualified,E5.0,1F932 1F3FD,\U0001f932\U0001f3fd
345,🤲🏾,People & Body,hands,palms up together: medium-dark skin tone,fully-qualified,E5.0,1F932 1F3FE,\U0001f932\U0001f3fe
346,🤲🏿,People & Body,hands,palms up together: dark skin tone,fully-qualified,E5.0,1F932 1F3FF,\U0001f932\U0001f3ff
347,🤝,People & Body,hands,handshake,fully-qualified,E3.0,1F91D,\U0001f91d
348,🙏,People & Body,hands,folded hands,fully-qualified,E0.6,1F64F,\U0001f64f
349,🙏🏻,People & Body,hands,folded hands: light skin tone,fully-qualified,E1.0,1F64F 1F3FB,\U0001f64f\U0001f3fb
350,🙏🏼,People & Body,hands,folded hands: medium-light skin tone,fully-qualified,E1.0,1F64F 1F3FC,\U0001f64f\U0001f3fc
351,🙏🏽,People & Body,hands,folded hands: medium skin tone,fully-qualified,E1.0,1F64F 1F3FD,\U0001f64f\U0001f3fd
352,🙏🏾,People & Body,hands,folded hands: medium-dark skin tone,fully-qualified,E1.0,1F64F 1F3FE,\U0001f64f\U0001f3fe
353,🙏🏿,People & Body,hands,folded hands: dark skin tone,fully-qualified,E1.0,1F64F 1F3FF,\U0001f64f\U0001f3ff
354,✍️,People & Body,hand-prop,writing hand,fully-qualified,E0.7,270D FE0F,\u270d\ufe0f
355,✍,People & Body,hand-prop,writing hand,unqualified,E0.7,270D,\u270d
356,✍🏻,People & Body,hand-prop,writing hand: light skin tone,fully-qualified,E1.0,270D 1F3FB,\u270d\U0001f3fb
357,✍🏼,People & Body,hand-prop,writing hand: medium-light skin tone,fully-qualified,E1.0,270D 1F3FC,\u270d\U0001f3fc
358,✍🏽,People & Body,hand-prop,writing hand: medium skin tone,fully-qualified,E1.0,270D 1F3FD,\u270d\U0001f3fd
359,✍🏾,People & Body,hand-prop,writing hand: medium-dark skin tone,fully-qualified,E1.0,270D 1F3FE,\u270d\U0001f3fe
360,✍🏿,People & Body,hand-prop,writing hand: dark skin tone,fully-qualified,E1.0,270D 1F3FF,\u270d\U0001f3ff
361,💅,People & Body,hand-prop,nail polish,fully-qualified,E0.6,1F485,\U0001f485
362,💅🏻,People & Body,hand-prop,nail polish: light skin tone,fully-qualified,E1.0,1F485 1F3FB,\U0001f485\U0001f3fb
363,💅🏼,People & Body,hand-prop,nail polish: medium-light skin tone,fully-qualified,E1.0,1F485 1F3FC,\U0001f485\U0001f3fc
364,💅🏽,People & Body,hand-prop,nail polish: medium skin tone,fully-qualified,E1.0,1F485 1F3FD,\U0001f485\U0001f3fd
365,💅🏾,People & Body,hand-prop,nail polish: medium-dark skin tone,fully-qualified,E1.0,1F485 1F3FE,\U0001f485\U0001f3fe
366,💅🏿,People & Body,hand-prop,nail polish: dark skin tone,fully-qualified,E1.0,1F485 1F3FF,\U0001f485\U0001f3ff
367,🤳,People & Body,hand-prop,selfie,fully-qualified,E3.0,1F933,\U0001f933
368,🤳🏻,People & Body,hand-prop,selfie: light skin tone,fully-qualified,E3.0,1F933 1F3FB,\U0001f933\U0001f3fb
369,🤳🏼,People & Body,hand-prop,selfie: medium-light skin tone,fully-qualified,E3.0,1F933 1F3FC,\U0001f933\U0001f3fc
370,🤳🏽,People & Body,hand-prop,selfie: medium skin tone,fully-qualified,E3.0,1F933 1F3FD,\U0001f933\U0001f3fd
371,🤳🏾,People & Body,hand-prop,selfie: medium-dark skin tone,fully-qualified,E3.0,1F933 1F3FE,\U0001f933\U0001f3fe
372,🤳🏿,People & Body,hand-prop,selfie: dark skin tone,fully-qualified,E3.0,1F933 1F3FF,\U0001f933\U0001f3ff
373,💪,People & Body,body-parts,flexed biceps,fully-qualified,E0.6,1F4AA,\U0001f4aa
374,💪🏻,People & Body,body-parts,flexed biceps: light skin tone,fully-qualified,E1.0,1F4AA 1F3FB,\U0001f4aa\U0001f3fb
375,💪🏼,People & Body,body-parts,flexed biceps: medium-light skin tone,fully-qualified,E1.0,1F4AA 1F3FC,\U0001f4aa\U0001f3fc
376,💪🏽,People & Body,body-parts,flexed biceps: medium skin tone,fully-qualified,E1.0,1F4AA 1F3FD,\U0001f4aa\U0001f3fd
377,💪🏾,People & Body,body-parts,flexed biceps: medium-dark skin tone,fully-qualified,E1.0,1F4AA 1F3FE,\U0001f4aa\U0001f3fe
378,💪🏿,People & Body,body-parts,flexed biceps: dark skin tone,fully-qualified,E1.0,1F4AA 1F3FF,\U0001f4aa\U0001f3ff
379,🦾,People & Body,body-parts,mechanical arm,fully-qualified,E12.0,1F9BE,\U0001f9be
380,🦿,People & Body,body-parts,mechanical leg,fully-qualified,E12.0,1F9BF,\U0001f9bf
381,🦵,People & Body,body-parts,leg,fully-qualified,E11.0,1F9B5,\U0001f9b5
382,🦵🏻,People & Body,body-parts,leg: light skin tone,fully-qualified,E11.0,1F9B5 1F3FB,\U0001f9b5\U0001f3fb
383,🦵🏼,People & Body,body-parts,leg: medium-light skin tone,fully-qualified,E11.0,1F9B5 1F3FC,\U0001f9b5\U0001f3fc
384,🦵🏽,People & Body,body-parts,leg: medium skin tone,fully-qualified,E11.0,1F9B5 1F3FD,\U0001f9b5\U0001f3fd
385,🦵🏾,People & Body,body-parts,leg: medium-dark skin tone,fully-qualified,E11.0,1F9B5 1F3FE,\U0001f9b5\U0001f3fe
386,🦵🏿,People & Body,body-parts,leg: dark skin tone,fully-qualified,E11.0,1F9B5 1F3FF,\U0001f9b5\U0001f3ff
387,🦶,People & Body,body-parts,foot,fully-qualified,E11.0,1F9B6,\U0001f9b6
388,🦶🏻,People & Body,body-parts,foot: light skin tone,fully-qualified,E11.0,1F9B6 1F3FB,\U0001f9b6\U0001f3fb
389,🦶🏼,People & Body,body-parts,foot: medium-light skin tone,fully-qualified,E11.0,1F9B6 1F3FC,\U0001f9b6\U0001f3fc
390,🦶🏽,People & Body,body-parts,foot: medium skin tone,fully-qualified,E11.0,1F9B6 1F3FD,\U0001f9b6\U0001f3fd
391,🦶🏾,People & Body,body-parts,foot: medium-dark skin tone,fully-qualified,E11.0,1F9B6 1F3FE,\U0001f9b6\U0001f3fe
392,🦶🏿,People & Body,body-parts,foot: dark skin tone,fully-qualified,E11.0,1F9B6 1F3FF,\U0001f9b6\U0001f3ff
393,👂,People & Body,body-parts,ear,fully-qualified,E0.6,1F442,\U0001f442
394,👂🏻,People & Body,body-parts,ear: light skin tone,fully-qualified,E1.0,1F442 1F3FB,\U0001f442\U0001f3fb
395,👂🏼,People & Body,body-parts,ear: medium-light skin tone,fully-qualified,E1.0,1F442 1F3FC,\U0001f442\U0001f3fc
396,👂🏽,People & Body,body-parts,ear: medium skin tone,fully-qualified,E1.0,1F442 1F3FD,\U0001f442\U0001f3fd
397,👂🏾,People & Body,body-parts,ear: medium-dark skin tone,fully-qualified,E1.0,1F442 1F3FE,\U0001f442\U0001f3fe
398,👂🏿,People & Body,body-parts,ear: dark skin tone,fully-qualified,E1.0,1F442 1F3FF,\U0001f442\U0001f3ff
399,🦻,People & Body,body-parts,ear with hearing aid,fully-qualified,E12.0,1F9BB,\U0001f9bb
400,🦻🏻,People & Body,body-parts,ear with hearing aid: light skin tone,fully-qualified,E12.0,1F9BB 1F3FB,\U0001f9bb\U0001f3fb
401,🦻🏼,People & Body,body-parts,ear with hearing aid: medium-light skin tone,fully-qualified,E12.0,1F9BB 1F3FC,\U0001f9bb\U0001f3fc
